model,tahun,harga,transmisi,jarak_tempuh,bahan_bakar,pajak,mpg,ukuran_mesin,Kategori_Mesin
Toyota Kijang Innova V,2011,173000000,1,124560,0,4000000,29.5,2.0,Medium
Honda Mobilio E,2015,119000000,1,94689,0,2867000,22.0,1.2,Kecil
Honda Jazz RS,2019,300000000,0,6432,0,2000000,22.0,1.5,Kecil
Daihatsu Terios TX ADVENTURE,2012,155000000,1,112456,0,2300000,22.0,1.5,Kecil
Mitsubishi Pajero Sport DAKAR HI POWER,2010,285000000,1,80000,1,9431000,29.5,2.5,Medium
Toyota Avanza G,2013,108000000,0,321546,0,2800000,23.0,1.3,Kecil
Toyota Yaris G,2008,70000000,1,428000,0,3371000,25.0,1.5,Kecil
Toyota Calya E,2018,167600000,0,85000,0,2000000,22.0,1.2,Kecil
Suzuki Ertiga,2013,114999000,1,107000,0,2800000,23.0,1.3,Kecil
Honda Brio S ,2018,162500000,0,90000,0,2000000,25.0,1.2,Kecil
Toyota Avanza E,2013,112000000,0,70000,0,2800000,23.0,1.3,Kecil
Toyota Avanza E,2022,242800000,0,57488,0,2800000,23.0,1.3,Kecil
Daihatsu Ayla R,2019,151850000,0,40368,0,2000000,25.0,1.2,Kecil
Daihatsu Xenia R,2019,165000000,0,138023,0,2800000,23.0,1.3,Kecil
Honda Brio E,2015,110000000,0,30491,0,2000000,25.0,1.2,Kecil
Daihatsu Ayla R,2019,98150000,0,68000,0,2800000,25.0,1.2,Kecil
Daihatsu Xenia DLX VTTi,2015,109000000,0,75000,0,1371000,22.0,1.0,Kecil
Daihatsu Ayla M,2016,125000000,0,79852,0,1371000,22.0,1.0,Kecil
Toyota Calya E,2012,110000000,0,350000,0,2000000,22.0,1.2,Kecil
Toyota Yaris J MC,2009,90000000,0,152041,0,3371000,25.0,1.5,Kecil
Toyota Avanza G,2012,100000000,0,98800,0,2800000,23.0,1.3,Kecil
Toyota Avanza Veloz,2014,140000000,0,92458,0,2899000,25.0,1.5,Kecil
Toyota Avanza Veloz,2016,288700000,0,70000,0,2800000,23.0,1.3,Kecil
Toyota Calya E,2017,105000000,0,10000,0,2000000,22.0,1.2,Kecil
Toyota Calya E,2016,128000000,0,62872,0,2000000,22.0,1.2,Kecil
Daihatsu Ayla M,2016,119000000,0,84560,0,1371000,22.0,1.0,Kecil
Honda Brio IVTEC E,2017,125900000,0,71000,0,2000000,25.0,1.2,Kecil
Nissan Grand Livina SV,2010,75000000,0,125481,0,2500000,25.0,1.5,Kecil
